claim_id	claim_text	research_axis	evidence_status	date	task_episode	run_id	profile	source_path	raw_evidence_path	git_commit	design_id	configuration	command	exit_code	metric	negative_evidence	rollback_or_rejection	claim_boundary	reproducibility	paper_section	notes
C24	RV32 SoC 阶段把 npc/sim、single/soc 后端、ysyxSoCFull、AM 地址图与 NEMU reference 接成同一 target/reference 闭环，并在新增 char-test 后达到 cpu-tests 39/39 DiffTest	工程演进；SoC 集成	SUPPORTED	2026-05-23—2026-05-24	rv32-ysyxsoc-target-reference	2026-05-23-npc-single-soc-split | 2026-05-23-am-ysyxsoc-platform | 2026-05-24-b2-ysyxsocfull-cache	npc-soc | difftest	.github/task-runs/2026-05-23-npc-single-soc-split/task-report.md | .github/task-runs/2026-05-23-am-ysyxsoc-platform/task-report.md | .github/task-runs/2026-05-24-b2-ysyxsocfull-cache/task-report.md	.github/task-runs/2026-05-23-am-ysyxsoc-platform/task-report.md | .github/task-runs/2026-05-24-b2-ysyxsocfull-cache/task-report.md	-	-	riscv32-ysyxsoc；MROM 0x20000000；SRAM 0x0f000000..0x0f001fff；npc/sim BACKEND=soc	见 task-report 中 cpu-tests、soc-run 与 DiffTest 命令	0	cpu-tests 39/39 DiffTest；char-test UART；mem-test GOOD TRAP at pc=0x200002c6	ysyxSoC VGA/PS2/GPIO 仍为空壳；部分 full TB 受既有 UART 期望阻塞	single/soc 目录与入口分离；平台专属改动未残留到 single	只证明 Verilator/AM/NEMU 仿真闭环，不证明 ChipLink、FPGA 或物理芯片	task-report 保存路径、命令、地址图和结果	工程二：RV32 SoC	39/39 是给定 cpu-tests 集合，不是完整 SoC 功能覆盖
C25	NPC RV64 后端先形成无 DiffTest 的 38/38，NEMU 补齐 RV64 reference 后再形成 40/40 与 CoreMark DiffTest	工程演进；target/reference	SUPPORTED	2026-05-29—2026-05-30	rv32-to-rv64-target-reference	2026-05-29-npc-rv64-backend | 2026-05-30-rv64-nemu-difftest	npc | difftest	.github/task-runs/2026-05-29-npc-rv64-backend/task-report.md | .github/task-runs/2026-05-30-rv64-nemu-difftest/task-report.md	.github/task-runs/2026-05-29-npc-rv64-backend/task-report.md | .github/task-runs/2026-05-30-rv64-nemu-difftest/task-report.md	-	-	ARCH=riscv64-npc；npc/sim BACKEND=rv64；前一冻结点 DiffTest/cacheable off；后一冻结点 NEMU RV64 interpreter-so	见两个 task-report	0	38/38 无对拍；40/40 DiffTest；CoreMark PASS；cycles=1915750807；commits=318393507	首个冻结点明确缺 RV64 NEMU reference；RV64B/RV64C、cache、Linux 与 PPA 仍需独立门禁	未把 38/38 改写成 DiffTest；补 reference 后重新验收	支持两个冻结点的能力差异，不证明完整 ISA、Linux、性能最优或可流片	两个 task-report 可按命令和结果回查	工程三：从 RV32 到 RV64	跨冻结点数字不用于证明持续性能提升
C26	真实 OpenSBI v1.8 在 NPC RV64 上完成 hartid/DTB 的 S-mode handoff，mini payload 打印 S 并 GOOD TRAP	工程演进；固件交接	SUPPORTED	2026-05-30	rv64-opensbi-mini-handoff	2026-05-30-rv64-linux-handoff | 2026-05-30-rv64-opensbi-mini-boot	rv64-linux	.github/task-runs/2026-05-30-rv64-linux-handoff/task-report.md | .github/task-runs/2026-05-30-rv64-opensbi-mini-boot/task-report.md	.github/task-runs/2026-05-30-rv64-linux-handoff/task-report.md | .github/task-runs/2026-05-30-rv64-opensbi-mini-boot/task-report.md	-	-	真实 OpenSBI + embedded DTB + S-mode mini payload	见 smoke-opensbi 与 linux-handoff 命令	0	AM handoff 4/4；OpenSBI v1.8 banner；payload S；GOOD TRAP	没有运行 Linux kernel/rootfs；mini payload 不代表完整 SBI 或设备栈	错误 FW_TEXT_START、semihost ebreak 与 FDT lw 符号扩展问题分别修正	只证明固件到 mini S-mode payload 的交接，不证明 Linux 或 Ubuntu	两个 task-report 保存根因链、命令和输出	工程四：RV64 系统软件	固件门与 Linux/Ubuntu 门保持分层
C01	2026 年 4 月的记录已包含本地 RTL 生成、study recall、子代理与 review/task-run；后续月份才逐步扩展 design-id、mutation 与 evidence-index 等证据约束。	纵向观察	OBSERVATIONAL_ONLY	2026-04—2026-07	longitudinal-evolution	2026-04-13-rv32i-nonpipe-core | 2026-07-23-rv64-v9o-control-event-current-design	-	.github/task-runs/2026-04-13-rv32i-nonpipe-core/task-report.md | .github/task-runs/2026-07-23-rv64-v9o-control-event-current-design/task-report.md	.github/task-runs/2026-04-13-rv32i-nonpipe-core/task-report.md | .github/task-runs/2026-07-23-rv64-v9o-control-event-current-design/evidence-index.md	-	-	不同月份、任务、模型与工具同时变化	-	-	早期仅 lint；后期出现 design-id、mutation、evidence index	-	-	这是工作流演进的时间线观察；不把 4 月简化为纯一次性代码生成，也不声称各机制首次出现的精确日期已由受控实验确认。	引言；纵向案例	只描述共现与演化，不作模型或流程的独立因果归因	按独立抽查收紧措辞，避免把早期环境误写成纯 one-shot。
C02	反馈闭环在因果上优于单次 Prompt	RQ1；RQ4	MISSING	-	future-controlled-study	-	-	-	-	-	-	尚无同模型、同快照、同任务、同预算对照	-	-	无 B0—B3 受控结果	-	-	待按 experiment-plan.md 复现	研究问题；未来实验	本文只将其作为可证伪假设	受控实验尚未执行；状态保持 MISSING。
C03	分层可执行门禁在若干案例中揭露了局部通过但工程未完成	RQ1；RQ4	SUPPORTED	2026-05—2026-06	layered-gate-counterexamples	2026-05-29-ooo-cpi-645-iq-fix | 2026-06-29-rv64-ooo-core-architecture-constitution	-	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-06-29-rv64-ooo-core-architecture-constitution/report.md	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-06-29-rv64-ooo-core-architecture-constitution/report.md	-	-	focused、module、riscv-tests、AM	见各报告命令	per-command；见报告	branch+ret focused PASS 后 UNOPTFLAT；spec-on 为 255/16 与 25/32	聚合回归和结构检查否定局部结论	候选被撤回或模式回到 0	只覆盖已记录的反例，不能推出所有假完成都能被检测	报告含命令、计数与回退后结果	失败模式；案例研究	“SUPPORTED”限定为这些案例确实发生
C04	可执行约束形成了降低假完成风险的机制，并在若干案例中生效	RQ1	PARTIALLY_SUPPORTED	2026-05—2026-07	risk-control-mechanism	multiple	-	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/task-report.md	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/evidence/rtl-variants/summary.json	-	sha256:2eff867b20012e0c004fb03431a2f0604f22c471d0b115fd2e02eb5a51b2c8b2	纵向工程记录	-	-	候选退化、变体拒绝、full-core GAP	缺少 Prompt-only 对照和假完成率分母	候选拒绝；complete 未晋级	可称机制关闭了特定路径，不能量化总体风险下降	路径和定向证据可回查	贡献；讨论	因果效应留给 B0—B3
C05	bounded recall 能限制检索范围，并在缺少独立主焦点时失败关闭	RQ1	SUPPORTED	2026-07	bounded-recall	2026-07-23-rv64-v9n-irrevocable-write-owner-residency	github-index	.github/task-runs/2026-07-23-rv64-v9n-irrevocable-write-owner-residency/task-report.md	.github/task-runs/2026-07-23-rv64-v9n-irrevocable-write-owner-residency/task-report.md	-	-	DB-first brief	python3 scripts/github_index_db.py brief design-id --profile agent-system --focus-scope non-history	0	宽查询拒绝；独立 design-id focus 可生成 bounded brief	拒绝 no independent primary focus match	无发布	支持工具行为，不证明输出质量或 Token 效率因果改善	命令可在当前索引上重放	系统设计；方法	索引内容随仓库状态变化
C06	V9L 在指定设计身份和配置下形成了较宽的功能证据包	RQ2；RQ3	SUPPORTED	2026-07-22	functional-aggregate-v9l	2026-07-22-rv64-v9l-functional-aggregate-current-design	difftest	.github/task-runs/2026-07-22-rv64-v9l-functional-aggregate-current-design/task-report.md	.github/task-runs/2026-07-22-rv64-v9l-functional-aggregate-current-design/task-report.md | .github/task-runs/2026-07-22-rv64-v9l-functional-aggregate-current-design/architecture-current-replay.log | .github/task-runs/2026-07-22-rv64-v9l-functional-aggregate-current-design/v8l-deterministic-pass1.log | .github/task-runs/2026-07-22-rv64-v9l-functional-aggregate-current-design/am-59-postfix-v2/crc32.log	-	sha256:2eff867b20012e0c004fb03431a2f0604f22c471d0b115fd2e02eb5a51b2c8b2	module、official、AM、DiffTest、CoreMark10、Dhrystone10000	见 functional-run-descriptor.json	0	module 109/109；official 177/177；AM 59/59；DiffTest mismatch 0；CRC 0xfcaf；mutation 11/11	full-core GAP；PPA UNQUALIFIED	未晋级 full-core complete	只证明列出的测试集合与设计身份，不等于 ISA 完备、无缺陷或可流片	原始日志与结果哈希保存在 task-run	七月案例；结果	V9P 后续记录还限制了 V9L 的 liveness 外推
C07	同一 V9O 事件的 task-report 与 evidence-index 保存了不同的身份元组，说明发布快照内部存在 design/config/candidate 绑定不一致；因此不得将其中任一元组视为稳定的精确快照。	RQ2	PARTIALLY_SUPPORTED	2026-07-23	control-event-v9o	2026-07-23-rv64-v9o-control-event-current-design	npc-dev	.github/task-runs/2026-07-23-rv64-v9o-control-event-current-design/task-report.md	.github/task-runs/2026-07-23-rv64-v9o-control-event-current-design/evidence-index.md	-	sha256:08d3d8648251f8fd430d0a9bcac289335f5dfb99a0a235531766e3c7f8048c6a	live RTL 与旧 candidate 对照	见 task-report current-design 验证入口	0	live 08d3…；verification 300d3…；candidate 2eff…	旧 candidate 不能消费当前局部闭合证据	promotion=false	两份产物足以支持“发布快照不一致”这一观察，但不足以唯一确定 live、canonical 与 candidate 的精确对应关系。	task-run 含完整身份和 164 项 evidence index	系统设计；七月案例	审稿复核后由 SUPPORTED 降为 PARTIALLY_SUPPORTED；保留冲突，不择一覆盖。
C08	design-id、结果哈希、原始证据哈希和 freshness 增强了证据可追溯性	RQ2	PARTIALLY_SUPPORTED	2026-07-23	fence-v9m-owner-v9n	2026-07-23-rv64-v9m-fence-ordering-current-design | 2026-07-23-rv64-v9n-irrevocable-write-owner-residency	npc-dev	.github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/task-report.md | .github/task-runs/2026-07-23-rv64-v9n-irrevocable-write-owner-residency/task-report.md	.github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/evidence-index.md | .github/task-runs/2026-07-23-rv64-v9n-irrevocable-write-owner-residency/evidence-index.md	-	sha256:2eff867b20012e0c004fb03431a2f0604f22c471d0b115fd2e02eb5a51b2c8b2	source/result/raw/provenance SHA	见 canonical commands	0	V9M result/raw SHA；V9N dispatch 变化触发 freshness GAP	缺少并发发布、崩溃和跨设计系统化故障注入	V9N 完整重放上层聚合	只能称增强可检测性，不能称消除全部 stale/cross-design/incomplete evidence	身份与哈希可逐项回查	系统设计；威胁	原子发布因果价值待实验
C09	失败关闭发布在局部测试通过时仍保留 GAP 和 UNQUALIFIED 状态	RQ2	SUPPORTED	2026-07-23	fence-v9m	2026-07-23-rv64-v9m-fence-ordering-current-design	npc-dev	.github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/task-report.md	.github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/task-report.md | .github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/evidence/module-aggregate/summary.txt | .github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/evidence/rtl-variants/summary.json	-	sha256:2eff867b20012e0c004fb03431a2f0604f22c471d0b115fd2e02eb5a51b2c8b2	FENCE current-design	make -C npc/rv64 check-fence-ordering	0	focused 2/2；module 109/109；variants 2/2；validator 12/12	full-core 38 blockers；PPA UNQUALIFIED	promotion=false	支持该发布链的限定行为，不代表所有历史发布路径一致	任务报告和证据摘要可复核	系统设计；七月案例	FENCE-G1 CLOSED 不等于 full-core CLOSED
C10	mutation-qualified verification 能识别预先定义的一组错误实现	RQ3	SUPPORTED	2026-07-22—2026-07-23	ifu-v9i-fence-v9m-owner-v9n	multiple	-	.github/task-runs/2026-07-22-rv64-v9i-ifu-access-current-design/task-report.md | .github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/task-report.md | .github/task-runs/2026-07-23-rv64-v9n-irrevocable-write-owner-residency/task-report.md	.github/task-runs/2026-07-23-rv64-v9m-fence-ordering-current-design/evidence/rtl-variants/summary.json | .github/task-runs/2026-07-23-rv64-v9n-irrevocable-write-owner-residency/evidence/rtl-variants/summary.json	-	6236…；2eff…	compile-success RTL variants	见各 canonical command	0	IFU 19/19；FENCE 2/2；STORE/AMO 2/2 动态拒绝	故障集由设计者选择；可能存在等价或不可观测变体	不合格变体不发布	只对列出的非等价变体和 oracle 作结论	报告给出分母、源码不变与拒绝结果	方法；七月案例	mutation 不是完整正确性证明
C11	mutation 全部通过即可证明 oracle 充分并证明 RTL 正确	RQ3	CONTRADICTED	2026-07	oracle-weakness	known-issues	-	.github/memory/known-issues.md	.github/memory/known-issues.md	-	-	同值连接、force/release 旧值、编译成功变体	-	-	存在未改字节、不可观测连接和旧值假绿反例	这些反例直接否定强主张	弱 oracle 必须修订	Mutation 只是指定故障模型中的辨识证据	通过 DB stored document 可回查	有效性威胁	等价 mutant 不得计入 mutation score 分母
C12	反馈循环和回滚机制在具体优化中拒绝了可观测回归	RQ4	SUPPORTED	2026-05—2026-06	rollback-cases	2026-05-29-ooo-cpi-645-iq-fix | 2026-06-29-rv64-ooo-core-architecture-constitution	-	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-06-29-rv64-ooo-core-architecture-constitution/report.md	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-06-29-rv64-ooo-core-architecture-constitution/report.md	-	-	AM add；riscv-tests；AM；module TB	见报告	per-command；见报告	双 memory CPI 0.645→0.665；spec-on 255/16、25/32；回退 271/0、113/113	候选违反既定门禁	恢复单 memory；mode=0	只支持这些候选在这些 workload 和门禁下被拒绝，不证明最终方案全局最优	计数和回退验证均在报告	五月/六月案例；安全搜索	局部 ROB-walk PASS 没有修复前端/JALR 死锁
C13	反馈、分层验证和回滚构成比单次生成更安全的搜索框架	RQ4	PARTIALLY_SUPPORTED	2026-05—2026-07	safe-search-framework	multiple	-	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-06-29-rv64-ooo-core-architecture-constitution/report.md	.github/task-runs/2026-05-29-ooo-cpi-645-iq-fix/task-report.md | .github/task-runs/2026-06-29-rv64-ooo-core-architecture-constitution/report.md	-	-	纵向案例	-	-	多个坏候选未留在接受状态	缺少固定预算的单 Prompt 对照	候选被拒绝或回滚	可作为系统设计命题，不能写成普遍因果定理	案例路径可复核	讨论；未来实验	需要 B0—B3 和组件消融
C14	5ns PPA proxy 在其约束模型下得到 top40 40/40 MET 和最差正裕量 +0.017907454ns	PPA 边界	SUPPORTED	2026-07-14	t4i-proxy	2026-07-14-rv64-t4i-standard-axi-lanes	yosys-sta	.github/task-runs/2026-07-14-rv64-t4i-standard-axi-lanes/task-report.md	.github/task-runs/2026-07-14-rv64-t4i-standard-axi-lanes/evidence/opensta-fresh-t4i-final/opensta-current-check-setup.txt	-	-	典型 liberty；ideal clock；placeholder macro；5.000ns	见 T4I task-report	0	top40 40/40 MET；worst +0.017907454ns	303 input、1873 output delay 缺失；1875 unconstrained endpoints；无 SPEF/CTS/OCV	不作为物理 promotion	仅为冻结 RTL 的 gate-level proxy 筛选结果	报告、STA setup 与计数均可回查	七月案例；PPA 限定	17.907ps 仅占 5ns 的 0.36%
C15	上述 PPA proxy 证明设计达到 200MHz 物理签核要求	PPA 边界	CONTRADICTED	2026-07-14	t4i-proxy	2026-07-14-rv64-t4i-standard-axi-lanes	yosys-sta	.github/task-runs/2026-07-14-rv64-t4i-standard-axi-lanes/task-report.md	.github/task-runs/2026-07-14-rv64-t4i-standard-axi-lanes/evidence/opensta-fresh-t4i-final/opensta-current-check-setup.txt	-	-	非签核代理约束	-	0	-	缺 I/O delay、未约束端点、理想时钟、无寄生/CTS/OCV、占位宏	PPA UNQUALIFIED	不得使用签核、可流片或板级达标表述	同 C14	有效性威胁；结论	强主张被直接反证
C16	Yosys 日志证明指定 RTL 快照完成通用结构展开并给出结构统计	EDA 结构审计	SUPPORTED	2026-07-15	r3p4-light-yosys	2026-07-15-rv64-ppa-architecture-recovery	yosys-sta	.github/task-runs/2026-07-15-rv64-ppa-architecture-recovery/task-report.md	.github/task-runs/2026-07-15-rv64-ppa-architecture-recovery/evidence/ppa-r3p4-alu-terminal/light-yosys/yosys.log	31e90c679050a3a9138c967151b240f0fa2ab158	-	Yosys 0.66+197；generic RTL structure	见 task-run runner	0	18115 wires；296118 bits；14645 cells；507 dff；6768 mux；1568 pmux；76 unique warnings；24.82s	无目标库映射、布局布线或物理时序	仅作为结构审计	不支持映射面积或频率结论	原始日志保留 End of script 和统计	七月案例；结构审计	warning 数是审计线索，不等于失败数
C17	该 Yosys 日志证明映射面积或时序已经优化	PPA 边界	CONTRADICTED	2026-07-15	r3p4-light-yosys	2026-07-15-rv64-ppa-architecture-recovery	yosys-sta	.github/task-runs/2026-07-15-rv64-ppa-architecture-recovery/task-report.md	.github/task-runs/2026-07-15-rv64-ppa-architecture-recovery/evidence/ppa-r3p4-alu-terminal/light-yosys/yosys.log	31e90c679050a3a9138c967151b240f0fa2ab158	-	generic cells	-	0	-	无目标工艺、面积单位、STA 或布局布线	保持 PPA UNQUALIFIED	generic cell 数不能替代映射 PPA	同 C16	有效性威胁	强主张无证据
